               xmn        radius(cm)               kmn              vbkv             alpha               nrc               rc0               rl0        fcref(GHz)             bz(G)             kmnrc             kmnrl             bjs-m              bjps                xx                yy        Hsm(xx,yy)
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   0.000000000D+00   0.000000000D+00   0.000000000D+00
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   0.000000000D+00   1.000000000D+00   0.000000000D+00
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   0.000000000D+00   2.000000000D+00   0.000000000D+00
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   0.000000000D+00   3.000000000D+00   0.000000000D+00
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   0.000000000D+00   4.000000000D+00   0.000000000D+00
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   0.000000000D+00   5.000000000D+00   0.000000000D+00
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   0.000000000D+00   6.000000000D+00   0.000000000D+00
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   0.000000000D+00   7.000000000D+00   0.000000000D+00
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   0.000000000D+00   8.000000000D+00   0.000000000D+00
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   0.000000000D+00   9.000000000D+00   0.000000000D+00
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   0.000000000D+00   1.000000000D+01   0.000000000D+00
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   1.000000000D+00   0.000000000D+00   4.841112955D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   1.000000000D+00   1.000000000D+00   2.047222187D-02
   3.054300000D+00   3.040000000D-01   1.004703947D+01   8.500000000D+01   1.200000000D+00   3.055600000D-01   9.289024000D-02   3.935366985D-02   4.793789316D+01   1.997389392D+04   9.332719080D-01   3.953878744D-01  -4.176418590D-01   4.710046065D-01   1.000000000D+00   2.000000000D+00   8.049009510D-04
